UserID,Date,Total_Distance,Tracker_Distance,Logged_Activities_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Steps,Calories_Burned
6117666160,4/20/2016,8.020000458,8.020000458,0,2.029999971,0.479999989,5.519999981,0,26,10,349,587,10449,2536
1644430081,4/13/2016,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,8001,2902
1927972279,4/25/2016,0.109999999,0.109999999,0,0,0,0.109999999,0,0,0,12,1303,152,2100
6117666160,4/26/2016,7.210000038,7.210000038,0,0,0.340000004,6.869999886,0,0,7,352,1077,9543,2450
4388161847,5/9/2016,7.860000134,7.860000134,0,0.340000004,0.730000019,6.789999962,0,6,19,258,1020,10218,3013
6775888955,4/28/2016,0.5,0.5,0,0.059999999,0.200000003,0.239999995,0,2,13,15,1410,703,1993
4319703577,4/13/2016,5.5,5.5,0,0.529999971,0.589999974,1.309999943,0,8,15,96,1234,8204,2135
2873212765,5/3/2016,4.980000019,4.980000019,0,0.059999999,0.25,4.659999847,0.01,1,6,363,1070,7412,1906
4445114986,4/13/2016,1.99000001,1.99000001,0,0,0,1.99000001,0,0,0,194,840,2961,2095
6290855005,5/8/2016,5.829999924,5.829999924,0,0,0,5.820000172,0,0,0,251,1189,7706,2712
3977333714,4/30/2016,9.199999809,9.199999809,0,3.690000057,2.099999905,3.410000086,0,43,52,194,687,13238,1650
1503960366,5/5/2016,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,14070,1959
1927972279,4/28/2016,1.159999967,1.159999967,0,0,0,1.159999967,0,0,0,95,1167,1675,2351
4558609924,5/1/2016,2.269999981,2.269999981,0,0,0,2.269999981,0,0,0,190,1121,3428,1692
8253242879,4/27/2016,8.180000305,8.180000305,0,6.239999771,0.230000004,1.700000048,0,45,5,104,1286,10232,2008
6962181067,4/28/2016,8.350000381,8.350000381,0,2.50999999,0.239999995,5.590000153,0,38,8,288,621,12627,2182
1503960366,5/12/2016,0,0,0,0,0,0,0,0,0,0,1440,0,0
6117666160,5/6/2016,2.680000067,2.680000067,0,0,0,2.680000067,0,0,0,133,673,3365,1838
4558609924,5/7/2016,5.440000057,5.440000057,0,1.610000014,1,2.829999924,0,23,16,233,1116,8237,1973
3977333714,4/24/2016,10,10,0,3.269999981,4.559999943,2.170000076,0,30,95,129,660,14112,1655
6962181067,4/19/2016,7.099999905,7.099999905,0,2.099999905,2.130000114,2.869999886,0,35,41,195,659,10742,2046
2022484408,5/2/2016,7.289999962,7.289999962,0,2.609999895,0.340000004,4.329999924,0,36,8,277,1119,10379,2473
1624580081,4/20/2016,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,4974,1446
4558609924,5/5/2016,7.010000229,7.010000229,0,1.00999999,0.5,5.510000229,0,14,8,370,1048,10611,2262
2347167796,4/12/2016,6.829999924,6.829999924,0,2,0.620000005,4.199999809,0,28,13,320,964,10113,2344
4020332650,5/3/2016,3.220000029,3.220000029,0,0,0,3.150000095,0.050000001,0,0,174,950,4496,2828
1644430081,5/6/2016,7.119999886,7.119999886,0,0.819999993,0.270000011,6.010000229,0.02,11,6,369,1054,9787,3328
2026352035,5/7/2016,2.599999905,2.599999905,0,0,0,2.599999905,0,0,0,229,665,4193,1491
1644430081,4/20/2016,1.769999981,1.769999981,0,0,0,1.75999999,0.01,0,0,125,1315,2436,2430
2022484408,4/23/2016,4.210000038,4.210000038,0,0,0,4.210000038,0,0,0,249,1191,6001,2069
3977333714,4/23/2016,8.069999695,8.069999695,0,0,4.21999979,3.849999905,0,0,92,252,724,12058,1638
2022484408,4/16/2016,7.090000153,7.090000153,0,3.150000095,0.550000012,3.390000105,0,41,11,151,1237,10100,2177
6290855005,4/23/2016,0,0,0,0,0,0,0,33,0,0,1407,0,2664
4445114986,4/20/2016,1.389999986,1.389999986,0,0,0,1.389999986,0,0,0,137,841,2072,1974
4020332650,4/18/2016,0.039999999,0.039999999,0,0,0,0.039999999,0,0,0,2,1438,62,1995
8378563200,5/7/2016,3.539999962,3.539999962,0,0,0,3.539999962,0,0,0,158,851,4468,2799
6117666160,4/19/2016,8.409999847,8.409999847,0,0,0,8.409999847,0,0,0,480,425,11135,2606
6117666160,4/13/2016,0,0,0,0,0,0,0,0,0,0,1440,0,1496
1644430081,4/26/2016,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223,1165,9919,3123
